Rate_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Ocean_Freight_USD,THC_USD,Seal_Fee_USD,Doc_Fee_USD,Total_Cost_USD,Valid_From,Valid_To,Transit_Time_Days
RTE-00071,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2873,210,10,40,3133,2026-07-23,2026-08-07,26
RTE-00072,MSC,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2320,140,10,40,2510,2026-07-22,2026-08-06,27
RTE-00073,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3940,210,10,40,4200,2026-07-22,2026-08-06,19
RTE-00074,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2894,210,10,40,3154,2026-07-31,2026-08-15,21
RTE-00075,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2525,210,10,40,2785,2026-07-28,2026-08-12,13
RTE-00076,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3802,210,10,40,4062,2026-07-12,2026-07-27,28
RTE-00077,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2024,140,10,40,2214,2026-07-22,2026-08-06,34
RTE-00078,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2218,210,10,40,2478,2026-07-20,2026-08-04,24
RTE-00079,COSCO,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,2145,140,10,40,2335,2026-07-30,2026-08-14,30
RTE-00080,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1568,140,10,40,1758,2026-07-20,2026-08-04,25
RTE-00081,Evergreen,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,381,140,10,40,571,2026-07-24,2026-08-08,14
RTE-00082,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1559,140,10,40,1749,2026-07-30,2026-08-14,35
RTE-00083,MSC,VNDNG (Da Nang),USLGB (Long Beach),40HC,3256,210,10,40,3516,2026-07-27,2026-08-11,31
RTE-00084,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1679,140,10,40,1869,2026-07-05,2026-07-20,26
RTE-00085,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2114,140,10,40,2304,2026-07-20,2026-08-04,25
RTE-00086,Evergreen,VNDNG (Da Nang),USLGB (Long Beach),40HC,3205,210,10,40,3465,2026-07-22,2026-08-06,14
RTE-00087,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1584,140,10,40,1774,2026-07-10,2026-07-25,33
RTE-00088,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3194,210,10,40,3454,2026-07-27,2026-08-11,21
RTE-00089,MSC,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2817,210,10,40,3077,2026-07-15,2026-07-30,30
RTE-00090,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),20DC,1950,140,10,40,2140,2026-07-13,2026-07-28,20
RTE-00091,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3289,210,10,40,3549,2026-07-24,2026-08-08,32
RTE-00092,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,3088,210,10,40,3348,2026-07-29,2026-08-13,24
RTE-00093,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3299,210,10,40,3559,2026-07-06,2026-07-21,14
RTE-00094,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2315,210,10,40,2575,2026-07-10,2026-07-25,34
RTE-00095,ONE,VNDNG (Da Nang),USLGB (Long Beach),40HC,2673,210,10,40,2933,2026-07-08,2026-07-23,13
RTE-00096,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,698,210,10,40,958,2026-07-05,2026-07-20,17
RTE-00097,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3543,210,10,40,3803,2026-07-19,2026-08-03,33
RTE-00098,MSC,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2586,140,10,40,2776,2026-07-13,2026-07-28,19
RTE-00099,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2607,140,10,40,2797,2026-07-25,2026-08-09,28
RTE-00100,MSC,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3218,210,10,40,3478,2026-07-04,2026-07-19,27
RTE-00101,Evergreen,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,2180,140,10,40,2370,2026-07-18,2026-08-02,14
RTE-00102,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3387,210,10,40,3647,2026-07-24,2026-08-08,30
RTE-00103,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2206,210,10,40,2466,2026-07-15,2026-07-30,26
RTE-00104,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2617,140,10,40,2807,2026-07-12,2026-07-27,20
RTE-00105,Evergreen,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,660,210,10,40,920,2026-07-20,2026-08-04,28
RTE-00106,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1886,140,10,40,2076,2026-07-26,2026-08-10,14
RTE-00107,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3932,210,10,40,4192,2026-07-02,2026-07-17,28
RTE-00108,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,292,140,10,40,482,2026-07-21,2026-08-05,27
RTE-00109,COSCO,VNDNG (Da Nang),USLGB (Long Beach),40HC,2928,210,10,40,3188,2026-07-06,2026-07-21,27
RTE-00110,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1766,140,10,40,1956,2026-07-05,2026-07-20,23
RTE-00111,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2605,140,10,40,2795,2026-07-10,2026-07-25,21
RTE-00112,ONE,VNDNG (Da Nang),USLGB (Long Beach),40HC,2952,210,10,40,3212,2026-07-11,2026-07-26,35
RTE-00113,COSCO,VNDNG (Da Nang),USLGB (Long Beach),20DC,2689,140,10,40,2879,2026-07-06,2026-07-21,21
RTE-00114,COSCO,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,426,140,10,40,616,2026-07-16,2026-07-31,19
RTE-00115,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,215,140,10,40,405,2026-07-29,2026-08-13,31
RTE-00116,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2022,210,10,40,2282,2026-07-31,2026-08-15,16
RTE-00117,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1521,140,10,40,1711,2026-07-28,2026-08-12,21
RTE-00118,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2804,210,10,40,3064,2026-07-20,2026-08-04,35
RTE-00119,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),40HC,576,210,10,40,836,2026-07-09,2026-07-24,17
RTE-00120,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2821,210,10,40,3081,2026-07-11,2026-07-26,27
RTE-00121,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3079,210,10,40,3339,2026-07-05,2026-07-20,25
RTE-00122,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2328,210,10,40,2588,2026-07-01,2026-07-16,17
RTE-00123,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2951,210,10,40,3211,2026-07-01,2026-07-16,33
RTE-00124,Evergreen,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,705,210,10,40,965,2026-07-05,2026-07-20,29
RTE-00125,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1645,140,10,40,1835,2026-07-14,2026-07-29,16
RTE-00126,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2958,210,10,40,3218,2026-07-14,2026-07-29,26
RTE-00127,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2785,210,10,40,3045,2026-07-24,2026-08-08,35
RTE-00128,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1968,140,10,40,2158,2026-07-07,2026-07-22,32
RTE-00129,MSC,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2733,140,10,40,2923,2026-07-31,2026-08-15,29
RTE-00130,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2549,210,10,40,2809,2026-07-11,2026-07-26,34
RTE-00131,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3288,210,10,40,3548,2026-07-21,2026-08-05,14
RTE-00132,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,222,140,10,40,412,2026-07-04,2026-07-19,30
RTE-00133,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1436,140,10,40,1626,2026-07-16,2026-07-31,22
RTE-00134,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2397,210,10,40,2657,2026-07-25,2026-08-09,33
RTE-00135,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),40HC,644,210,10,40,904,2026-07-06,2026-07-21,20
RTE-00136,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,363,140,10,40,553,2026-07-20,2026-08-04,31
RTE-00137,MSC,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2653,210,10,40,2913,2026-07-24,2026-08-08,21
RTE-00138,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,283,140,10,40,473,2026-07-10,2026-07-25,30
RTE-00139,Evergreen,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1566,140,10,40,1756,2026-07-13,2026-07-28,23
RTE-00140,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3306,210,10,40,3566,2026-07-25,2026-08-09,15
RTE-00141,MSC,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2647,210,10,40,2907,2026-07-27,2026-08-11,29
RTE-00142,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1406,140,10,40,1596,2026-07-08,2026-07-23,15
RTE-00143,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2004,140,10,40,2194,2026-07-26,2026-08-10,25
RTE-00144,ONE,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3192,210,10,40,3452,2026-07-01,2026-07-16,34
RTE-00145,COSCO,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1828,140,10,40,2018,2026-07-02,2026-07-17,27
RTE-00146,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,634,210,10,40,894,2026-07-14,2026-07-29,34
RTE-00147,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2363,140,10,40,2553,2026-07-04,2026-07-19,20
RTE-00148,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2024,210,10,40,2284,2026-07-20,2026-08-04,12
RTE-00149,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,395,140,10,40,585,2026-07-23,2026-08-07,12
RTE-00150,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2621,210,10,40,2881,2026-07-18,2026-08-02,34
RTE-00151,MSC,VNDNG (Da Nang),USLGB (Long Beach),20DC,2075,140,10,40,2265,2026-07-11,2026-07-26,14
RTE-00152,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2821,210,10,40,3081,2026-07-07,2026-07-22,25
RTE-00153,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3381,210,10,40,3641,2026-07-23,2026-08-07,35
RTE-00154,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3591,210,10,40,3851,2026-07-08,2026-07-23,24
RTE-00155,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1665,140,10,40,1855,2026-07-22,2026-08-06,32
RTE-00156,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1877,140,10,40,2067,2026-07-10,2026-07-25,13
RTE-00157,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,568,210,10,40,828,2026-07-13,2026-07-28,21
RTE-00158,MSC,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3662,210,10,40,3922,2026-07-01,2026-07-16,15
RTE-00159,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2243,210,10,40,2503,2026-07-22,2026-08-06,25
RTE-00160,ONE,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2378,140,10,40,2568,2026-07-01,2026-07-16,17
RTE-00161,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2443,210,10,40,2703,2026-07-14,2026-07-29,28
RTE-00162,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1525,140,10,40,1715,2026-07-19,2026-08-03,29
RTE-00163,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1986,140,10,40,2176,2026-07-11,2026-07-26,33
RTE-00164,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3119,210,10,40,3379,2026-07-25,2026-08-09,30
RTE-00165,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2796,140,10,40,2986,2026-07-18,2026-08-02,31
RTE-00166,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1644,140,10,40,1834,2026-07-05,2026-07-20,23
RTE-00167,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2994,210,10,40,3254,2026-07-01,2026-07-16,26
RTE-00168,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2717,140,10,40,2907,2026-07-29,2026-08-13,29
RTE-00169,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,473,140,10,40,663,2026-07-25,2026-08-09,18
RTE-00170,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2183,140,10,40,2373,2026-07-12,2026-07-27,14
RTE-00171,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,667,210,10,40,927,2026-07-25,2026-08-09,30
RTE-00172,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,772,210,10,40,1032,2026-07-31,2026-08-15,35
RTE-00173,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2212,140,10,40,2402,2026-07-13,2026-07-28,22
RTE-00174,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2636,140,10,40,2826,2026-07-20,2026-08-04,16
RTE-00175,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2319,140,10,40,2509,2026-07-10,2026-07-25,14
RTE-00176,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2951,210,10,40,3211,2026-07-11,2026-07-26,23
RTE-00177,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1726,140,10,40,1916,2026-07-13,2026-07-28,20
RTE-00178,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,408,140,10,40,598,2026-07-02,2026-07-17,20
RTE-00179,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),40HC,2590,210,10,40,2850,2026-07-31,2026-08-15,15
RTE-00180,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2415,140,10,40,2605,2026-07-06,2026-07-21,22
RTE-00181,ONE,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3183,210,10,40,3443,2026-07-14,2026-07-29,29
RTE-00182,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2019,210,10,40,2279,2026-07-22,2026-08-06,27
RTE-00183,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3023,210,10,40,3283,2026-07-30,2026-08-14,13
RTE-00184,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,327,140,10,40,517,2026-07-27,2026-08-11,29
RTE-00185,MSC,VNDNG (Da Nang),USLGB (Long Beach),40HC,3200,210,10,40,3460,2026-07-19,2026-08-03,22
RTE-00186,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,605,210,10,40,865,2026-07-17,2026-08-01,24
RTE-00187,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3963,210,10,40,4223,2026-07-04,2026-07-19,26
RTE-00188,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2167,140,10,40,2357,2026-07-25,2026-08-09,30
RTE-00189,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,688,210,10,40,948,2026-07-20,2026-08-04,34
RTE-00190,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2342,140,10,40,2532,2026-07-07,2026-07-22,33
RTE-00191,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1804,140,10,40,1994,2026-07-06,2026-07-21,26
RTE-00192,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2667,210,10,40,2927,2026-07-09,2026-07-24,34
RTE-00193,Evergreen,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,436,140,10,40,626,2026-07-31,2026-08-15,13
RTE-00194,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,2159,140,10,40,2349,2026-07-14,2026-07-29,17
RTE-00195,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2152,140,10,40,2342,2026-07-15,2026-07-30,15
RTE-00196,COSCO,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1938,140,10,40,2128,2026-07-29,2026-08-13,33
RTE-00197,Maersk,VNDNG (Da Nang),USLGB (Long Beach),20DC,2700,140,10,40,2890,2026-07-04,2026-07-19,12
RTE-00198,ONE,VNDNG (Da Nang),USLGB (Long Beach),20DC,2671,140,10,40,2861,2026-07-30,2026-08-14,27
RTE-00199,COSCO,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2159,140,10,40,2349,2026-07-10,2026-07-25,31
